20050101,69,28,106
20050102,64,56,86
20050103,75,58,89
20050104,76,66,93
20050105,59,31,77
20050106,77,56,95
20050107,112,93,125
20050108,91,53,118
20050109,75,50,108
20050110,113,89,133
20050111,101,86,117
20050112,79,54,108
20050113,56,29,76
20050114,29,-10,80
20050115,3,-25,39
20050116,12,-22,43
20050117,63,34,77
20050118,47,21,80
20050119,55,40,74
20050120,96,66,109
20050121,58,38,82
20050122,39,-10,82
20050123,16,-20,67
20050124,6,-24,39
20050125,-3,-23,17
20050126,-8,-27,17
20050127,13,-7,30
20050128,20,6,29
20050129,12,-16,39
20050130,59,36,75
20050131,65,42,80
20050201,46,32,63
20050202,62,43,81
20050203,65,50,82
20050204,55,21,83
20050205,23,-6,46
20050206,25,-34,75
20050207,-8,-45,50
20050208,-4,-54,46
20050209,52,-17,89
20050210,74,53,90
20050211,66,52,92
20050212,81,45,119
20050213,35,10,59
20050214,36,10,65
20050215,17,4,38
20050216,0,-19,24
20050217,6,-9,21
20050218,18,4,45
20050219,24,-1,63
20050220,22,0,54
20050221,18,2,43
20050222,2,-17,25
20050223,-3,-24,14
20050224,0,-23,24
20050225,0,-36,29
20050226,12,-12,40
20050227,-24,-56,0
20050228,-31,-92,16
20050301,-13,-30,6
20050302,-7,-13,4
20050303,-24,-78,-5
20050304,-55,-144,-1
20050305,-16,-48,11
20050306,-11,-82,26
20050307,35,12,57
20050308,49,33,69
20050309,44,13,71
20050310,27,-17,58
20050311,45,20,73
20050312,36,13,52
20050313,45,23,78
20050314,40,-9,75
20050315,81,-9,123
20050316,139,97,193
20050317,111,87,130
20050318,94,71,115
20050319,95,70,118
20050320,78,39,122
20050321,99,21,157
20050322,122,89,177
20050323,121,84,170
20050324,128,73,188
20050325,104,81,132
20050326,108,73,158
20050327,116,81,160
20050328,104,77,137
20050329,104,75,137
20050330,118,80,161
20050331,111,72,161
20050401,102,42,171
20050402,108,26,173
20050403,138,79,212
20050404,118,63,187
20050405,90,51,128
20050406,88,47,126
20050407,91,70,126
20050408,64,33,102
20050409,48,14,69
20050410,78,38,123
20050411,104,42,161
20050412,99,23,158
20050413,105,74,124
20050414,124,98,170
20050415,107,70,178
20050416,78,64,90
20050417,116,75,176
20050418,105,52,161
20050419,86,45,128
20050420,88,51,136
20050421,83,19,135
20050422,89,1,162
20050423,112,28,186
20050424,126,33,186
20050425,127,77,180
20050426,106,47,162
20050427,114,81,155
20050428,129,38,179
20050429,142,102,181
20050430,151,106,194
20050501,196,97,285
20050502,151,104,187
20050503,138,94,184
20050504,118,90,139
20050505,98,50,134
20050506,104,83,123
20050507,85,52,111
20050508,77,40,118
20050509,79,48,120
20050510,80,42,131
20050511,82,31,126
20050512,89,4,144
20050513,118,52,180
20050514,109,69,166
20050515,107,57,162
20050516,91,23,153
20050517,67,12,106
20050518,83,2,148
20050519,133,50,190
20050520,165,131,212
20050521,156,110,207
20050522,146,98,201
20050523,124,78,166
20050524,136,79,181
20050525,174,134,228
20050526,206,127,291
20050527,226,108,307
20050528,197,121,250
20050529,142,86,193
20050530,103,69,129
20050531,118,64,167
20050601,135,38,190
20050602,156,133,194
20050603,173,134,257
20050604,143,118,185
20050605,143,127,171
20050606,117,83,147
20050607,108,73,140
20050608,117,49,166
20050609,132,43,189
20050610,128,58,193
20050611,113,77,146
20050612,118,67,165
20050613,119,71,167
20050614,142,50,209
20050615,163,69,243
20050616,180,130,228
20050617,189,173,218
20050618,200,145,261
20050619,225,127,298
20050620,252,157,328
20050621,203,140,257
20050622,196,118,258
20050623,235,140,307
20050624,256,169,326
20050625,186,126,221
20050626,172,114,233
20050627,175,110,234
20050628,187,94,256
20050629,191,141,261
20050630,174,125,231
20050701,166,123,210
20050702,177,127,210
20050703,200,154,252
20050704,172,127,233
20050705,148,113,190
20050706,149,116,199
20050707,152,101,200
20050708,148,94,197
20050709,169,107,214
20050710,218,157,274
20050711,201,168,245
20050712,201,157,257
20050713,196,148,251
20050714,213,139,281
20050715,203,156,239
20050716,168,107,223
20050717,177,89,232
20050718,200,133,261
20050719,179,161,200
20050720,163,130,190
20050721,153,128,174
20050722,147,134,172
20050723,147,105,183
20050724,169,108,225
20050725,173,147,201
20050726,153,131,183
20050727,179,134,227
20050728,220,162,285
20050729,209,178,262
20050730,175,146,215
20050731,148,132,161
20050801,155,106,194
20050802,149,84,206
20050803,153,90,215
20050804,165,118,205
20050805,147,111,178
20050806,136,83,192
20050807,134,81,178
20050808,155,115,190
20050809,146,126,175
20050810,155,129,187
20050811,161,115,196
20050812,141,106,193
20050813,158,89,217
20050814,159,135,192
20050815,151,132,172
20050816,160,100,219
20050817,173,93,237
20050818,203,126,272
20050819,189,153,257
20050820,176,142,214
20050821,179,141,227
20050822,169,126,219
20050823,151,88,194
20050824,156,83,205
20050825,148,99,192
20050826,142,104,182
20050827,151,102,205
20050828,163,98,230
20050829,181,110,254
20050830,189,96,261
20050831,225,137,289
20050901,197,157,227
20050902,185,142,235
20050903,180,149,235
20050904,190,117,250
20050905,205,143,268
20050906,193,123,258
20050907,189,134,254
20050908,204,128,276
20050909,208,163,266
20050910,206,168,260
20050911,181,167,193
20050912,169,117,208
20050913,154,105,212
20050914,163,120,192
20050915,147,104,182
20050916,116,70,155
20050917,98,48,162
20050918,107,35,185
20050919,116,45,194
20050920,123,50,199
20050921,131,58,209
20050922,135,66,213
20050923,148,66,221
20050924,153,100,194
20050925,154,119,199
20050926,148,121,191
20050927,142,124,165
20050928,132,107,166
20050929,117,87,152
20050930,124,90,149
20051001,135,85,169
20051002,111,67,163
20051003,111,50,167
20051004,122,78,165
20051005,136,99,192
20051006,129,97,183
20051007,135,85,201
20051008,139,83,177
20051009,138,110,170
20051010,158,110,212
20051011,151,113,204
20051012,152,113,209
20051013,147,110,209
20051014,150,113,193
20051015,133,87,192
20051016,113,69,173
20051017,88,44,135
20051018,94,53,139
20051019,98,77,126
20051020,120,70,162
20051021,121,63,164
20051022,124,107,148
20051023,107,83,137
20051024,128,93,155
20051025,144,134,156
20051026,141,111,176
20051027,161,127,208
20051028,163,132,195
20051029,165,135,197
20051030,165,138,211
20051031,157,124,193
20051101,122,61,161
20051102,124,69,155
20051103,159,136,187
20051104,124,85,155
20051105,89,62,124
20051106,113,83,148
20051107,111,83,145
20051108,116,81,167
20051109,85,29,115
20051110,82,17,118
20051111,121,107,143
20051112,93,75,109
20051113,71,18,133
20051114,52,-7,109
20051115,79,54,108
20051116,55,35,77
20051117,40,16,83
20051118,29,-16,95
20051119,32,-28,92
20051120,54,31,79
20051121,64,23,112
20051122,25,-10,46
20051123,39,27,47
20051124,43,22,58
20051125,24,6,47
20051126,18,9,30
20051127,11,0,22
20051128,21,-22,64
20051129,30,5,67
20051130,29,3,54
20051201,17,4,30
20051202,33,2,62
20051203,72,54,85
20051204,77,64,99
20051205,62,47,76
20051206,58,44,74
20051207,62,33,92
20051208,41,1,71
20051209,10,-11,41
20051210,-12,-29,1
20051211,34,1,54
20051212,60,27,90
20051213,66,52,83
20051214,67,43,91
20051215,81,62,101
20051216,62,16,98
20051217,15,-9,41
20051218,16,-12,47
20051219,43,10,87
20051220,45,31,57
20051221,53,37,64
20051222,76,46,86
20051223,78,68,88
20051224,71,26,90
20051225,45,18,72
20051226,17,-22,66
20051227,-12,-27,-2
20051228,-20,-44,10
20051229,-17,-64,15
20051230,-12,-31,4
20051231,45,4,62
